nx,ny,num_points,threads,total_interpolation_time_seconds
250,100,900000,1,0.236251
250,100,900000,2,0.131282
250,100,900000,4,0.069877
250,100,900000,8,0.041822
250,100,900000,16,0.047012
250,100,5000000,1,1.142362
250,100,5000000,2,0.657195
250,100,5000000,4,0.361399
250,100,5000000,8,0.197621
250,100,5000000,16,0.185558
500,200,3600000,1,0.890114
500,200,3600000,2,0.608258
500,200,3600000,4,0.583453
500,200,3600000,8,0.307605
500,200,3600000,16,0.193663
500,200,20000000,1,4.918680
500,200,20000000,2,3.779448
500,200,20000000,4,2.215764
500,200,20000000,8,1.295247
500,200,20000000,16,0.799479
1000,400,14000000,1,3.688997
1000,400,14000000,2,4.113888
1000,400,14000000,4,3.522315
1000,400,14000000,8,3.406671
1000,400,14000000,16,3.090540
